case_id,path,known_fraction_across_models_mean,known_fraction_across_models_std,mae_all_across_models_mean,mae_all_across_models_std,rmse_all_across_models_mean,rmse_all_across_models_std,psnr_all_across_models_mean,psnr_all_across_models_std,ssim_all_across_models_mean,ssim_all_across_models_std,mae_known_across_models_mean,mae_known_across_models_std,rmse_known_across_models_mean,rmse_known_across_models_std,psnr_known_across_models_mean,psnr_known_across_models_std,ssim_known_across_models_mean,ssim_known_across_models_std,mae_missing_across_models_mean,mae_missing_across_models_std,rmse_missing_across_models_mean,rmse_missing_across_models_std,psnr_missing_across_models_mean,psnr_missing_across_models_std,ssim_missing_across_models_mean,ssim_missing_across_models_std
liver_101,liver_101.nii.gz,0.6755166053771973,0.0,0.0006433859816752374,7.19377556907623e-07,0.00776484003290534,2.6354951209468423e-06,42.19735145568848,0.0029482563470340593,0.911889523267746,5.184062366839966e-06,3.834188799789473e-10,0.0,1.000006818685506e-06,0.0,119.99993896484375,0.0,0.9165597856044769,1.1000327461343343e-05,0.0019828000804409385,2.21715472225082e-06,0.013631268870085478,4.626275168578603e-06,37.309274673461914,0.0029482563470340593,0.902167558670044,6.827789458764833e-06
liver_103,liver_103.nii.gz,0.6751418113708496,0.0,0.0004221443668939173,2.213532727456915e-07,0.006374691845849156,7.092853623227878e-06,43.910818099975586,0.009664778125730132,0.9103871285915375,4.172538002578509e-06,3.405270232459401e-10,0.0,1.000006022877642e-06,0.0,119.99995422363281,0.0,0.9144368171691895,6.743495761743045e-06,0.0012994721182622015,6.813466115716209e-07,0.01118438970297575,1.2445174111857429e-05,39.02775764465332,0.009664778125730132,0.9019712209701538,1.264405455326821e-06
liver_124,liver_124.nii.gz,0.6695094108581543,0.0,9.317692456534132e-05,6.082378814276019e-07,0.002723379759117961,3.0441219881501196e-06,51.29783821105957,0.009707936498605288,0.9066862165927887,9.483040914951158e-06,2.430039225398417e-10,0.0,1.0000044312619139e-06,0.0,119.99996185302734,0.0,0.9092274606227875,1.0831740067299766e-05,0.00028193468460813165,1.8404261046529557e-06,0.004737275652587414,5.294697844181063e-06,46.48942947387695,0.009710633896909985,0.9015386700630188,6.574908367699469e-06
liver_127,liver_127.nii.gz,0.6765017509460449,0.0,0.0003318512171972543,1.3196820349656204e-06,0.005004347767680883,1.3593017189271308e-05,46.013065338134766,0.02359144557288187,0.911403238773346,1.5762921343074366e-05,3.53967688493384e-10,0.0,1.000006022877642e-06,0.0,119.99993896484375,0.0,0.9153495132923126,1.985116564863109e-05,0.0010258200345560908,4.0793539546989545e-06,0.008798557799309492,2.3899238739200863e-05,41.111785888671875,0.02359144557288187,0.9031512439250946,7.291404792384667e-06
liver_18,liver_18.nii.gz,0.6755585670471191,0.0,0.00029248473583720624,1.3340053780142446e-06,0.004849529359489679,6.469541246422234e-06,46.28601264953613,0.011590720515283946,0.9111630320549011,1.6268683525205096e-05,3.4482025568216557e-10,0.0,1.0000059091908042e-06,0.0,119.99995422363281,0.0,0.9152052700519562,1.9598284557565724e-05,0.0009015017421916127,4.111622635590107e-06,0.008513955865055323,1.1357917129177959e-05,41.39737510681152,0.011585325718674551,0.902746707201004,9.483040914951158e-06
liver_21,liver_21.nii.gz,0.670475959777832,0.0,0.0002732034772634506,3.2927225399135964e-08,0.004924833541736007,3.898254215003707e-06,46.152170181274414,0.006875668278673208,0.9096351563930511,5.0997686698181775e-06,2.973841173314895e-10,0.0,1.0000051133829402e-06,0.0,119.99995422363281,0.0,0.9133216738700867,1.087388691581066e-05,0.0008290845435112715,9.98518110228798e-08,0.00857922388240695,6.7915695108257835e-06,41.33104133605957,0.006875668278673208,0.9021346867084503,6.617055216210363e-06
liver_23,liver_23.nii.gz,0.6744980812072754,0.0,0.000198488705791533,9.947314793078975e-07,0.004038376966491342,1.433947738906972e-05,47.87588882446289,0.03084205221590799,0.9095882475376129,1.3107669886888045e-05,2.8791358186452953e-10,0.0,1.0000049996961025e-06,0.0,119.99995422363281,0.0,0.9130435585975647,1.4329928493703971e-05,0.0006097921577747911,3.0559346302620596e-06,0.007078317692503333,2.513368041941447e-05,43.00142478942871,0.030839354817603293,0.9024285972118378,1.0747446370277979e-05
liver_25,liver_25.nii.gz,0.6709628105163574,0.0,0.00035279474104754627,2.2315192243311933e-06,0.006184135563671589,1.2120511669421948e-05,44.17443084716797,0.01702597809924884,0.9108753800392151,1.5762921343074366e-05,3.808031112662036e-10,0.0,1.0000069323723437e-06,0.0,119.99993896484375,0.0,0.9149811863899231,1.4751396978812912e-05,0.0010722024599090219,6.781855979333039e-06,0.010780937038362026,2.113005908313353e-05,39.34687805175781,0.01702597809924884,0.9025035798549652,1.8249585405217117e-05
liver_39,liver_39.nii.gz,0.6765241622924805,0.0,0.00032302083855029196,1.9340423223658742e-06,0.005441352259367704,7.353307976135043e-06,45.285865783691406,0.011739077422042292,0.9107772707939148,1.3908460008595031e-05,3.387820579625611e-10,0.0,1.0000062502513174e-06,0.0,119.99993896484375,0.0,0.9144606292247772,1.4456369039236653e-05,0.0009985927608795464,5.97884326991161e-06,0.009567223489284515,1.2928545780716744e-05,40.38428497314453,0.011739077422042292,0.903074324131012,1.2896935644333575e-05
liver_45,liver_45.nii.gz,0.6740026473999023,0.0,9.801849955692887e-05,1.3531031687457435e-07,0.0024844961008057,1.5951594344611417e-06,52.095237731933594,0.005578219694113847,0.905979573726654,2.6973983046972182e-06,6.064107549441644e-11,0.0,1.00000113434362e-06,0.0,119.99999237060547,0.0,0.9079472124576569,3.8353632144913565e-06,0.0003006725601153448,4.1506825567198326e-07,0.004351422423496842,2.7938750751166864e-06,47.227378845214844,0.005578219694113847,0.9019120037555695,1.2644054553268208e-07
