case_id,path,noise_std,slice_count,sampling_strategy,input_delta_rms_known,output_delta_mae_all,output_delta_rmse_all,output_delta_psnr_all,output_delta_ssim_all,output_delta_mae_known,output_delta_rmse_known,output_delta_psnr_known,output_delta_ssim_known,output_delta_mae_missing,output_delta_rmse_missing,output_delta_psnr_missing,output_delta_ssim_missing,stability_ratio_all,stability_ratio_missing
liver_124,liver_124.nii.gz,0.005,64,fibonacci,0.003641800954937935,0.0014250563690438867,0.0029830285347998142,50.50685501098633,0.8880445957183838,0.0021186084486544132,0.003641801420599222,48.77367401123047,0.8863345980644226,2.005580608965829e-05,0.00023941935796756297,72.41681671142578,0.8915085196495056,0.8191080654078889,0.06574202185403163
liver_124,liver_124.nii.gz,0.01,64,fibonacci,0.007276075892150402,0.0028450917452573776,0.005960842128843069,44.49384689331055,0.8359397053718567,0.0042289551347494125,0.007276075892150402,42.762054443359375,0.8230671286582947,4.165394420851953e-05,0.0005129207856953144,65.79899597167969,0.8620167970657349,0.8192385864575386,0.07049415004709683
liver_124,liver_124.nii.gz,0.02,64,fibonacci,0.014573374763131142,0.005698333494365215,0.011937025003135204,38.46207809448242,0.6799334287643433,0.008471235632896423,0.014573373831808567,36.728797912597656,0.6383513808250427,8.097459794953465e-05,0.0009527158108539879,60.42073059082031,0.7641704678535461,0.8190981977170051,0.06537372615053053
liver_103,liver_103.nii.gz,0.005,64,fibonacci,0.0037419276777654886,0.0015290267765522003,0.0030836458317935467,50.218711853027344,0.8956755995750427,0.0022357157431542873,0.003741926746442914,48.53809356689453,0.8960578441619873,6.033930912963115e-05,0.0004134273331146687,67.6720199584961,0.8948810696601868,0.8240794845171785,0.11048512123076333
liver_103,liver_103.nii.gz,0.01,64,fibonacci,0.007475628517568111,0.003054013941437006,0.0061601209454238415,44.20821762084961,0.8475178480148315,0.00446592690423131,0.007475629448890686,42.52704620361328,0.8385407328605652,0.000119682343211025,0.0008168641361407936,61.75700378417969,0.8661747574806213,0.8240271611874829,0.1092702953632756
liver_103,liver_103.nii.gz,0.02,64,fibonacci,0.014973251149058342,0.00611466821283102,0.01233737263828516,38.1755485534668,0.7021153569221497,0.00894253421574831,0.01497325487434864,36.493675231933594,0.6692584156990051,0.0002376099582761526,0.0016128646675497293,55.84804153442383,0.7704008221626282,0.8239608429369762,0.10771639716008913
liver_78,liver_78.nii.gz,0.005,64,fibonacci,0.003623315365985036,0.001421676017343998,0.002979545621201396,50.51700210571289,0.887188196182251,0.0020973619539290667,0.0036233151331543922,48.81787872314453,0.8850724101066589,2.0165420210105367e-05,0.0002466324658598751,72.15899658203125,0.8915765285491943,0.8223257763242962,0.06806817539958339
liver_78,liver_78.nii.gz,0.01,64,fibonacci,0.0072557139210402966,0.0028460605535656214,0.005966320168226957,44.485870361328125,0.8336478471755981,0.004198846407234669,0.007255712989717722,42.786399841308594,0.8202882409095764,4.01044926547911e-05,0.0004848896060138941,66.28713989257812,0.8613582849502563,0.8222926417930668,0.06682865549698691
liver_78,liver_78.nii.gz,0.02,64,fibonacci,0.014468461275100708,0.005672553088515997,0.011898704804480076,38.49000549316406,0.6762166619300842,0.008367192931473255,0.014468461275100708,36.79155349731445,0.6345644593238831,8.331461867783219e-05,0.0010182803962379694,59.8426513671875,0.7626117467880249,0.8223890971016373,0.07037931517917283
liver_45,liver_45.nii.gz,0.005,64,fibonacci,0.0036168477963656187,0.0014148360351100564,0.0029733958654105663,50.534942626953125,0.8870226144790649,0.0020877381321042776,0.0036168480291962624,48.83339309692383,0.8846975564956665,2.3604421585332602e-05,0.00027164749917574227,71.31988525390625,0.8918298482894897,0.8220959334806337,0.07510614614435991
